"id","county","density"
25001,"Barnstable County",548.3
25003,"Berkshire County",141.6
25005,"Bristol County",991.3
25007,"Dukes County",160.2
25009,"Essex County",1508.8
25011,"Franklin County",102.1
25013,"Hampden County",751
25015,"Hampshire County",299.8
25017,"Middlesex County",1837.9
25019,"Nantucket County",226.2
25021,"Norfolk County",1693.6
25023,"Plymouth County",750.9
25025,"Suffolk County",12415.6
25027,"Worcester County",528.6
